#Frame         mn_hd1       mn_hd2       mn_hd3
     177       2.5093       2.1232       2.2720
     178       2.3378       2.3221       2.3299
     179       2.6469       2.1660       2.1994
     180       2.3089       2.2093       2.2546
     181       2.4065       2.3563       2.3799
     182       2.4225       2.1806       2.1191
     183       2.2947       2.3285       2.2077
     184       2.2925       2.3580       2.3760
     185       2.4933       2.2802       2.2640
     186       2.2451       2.2690       2.2878
     187       2.3798       2.3444       2.1859
     188       2.2047       2.2884       2.3219
     189       2.4572       2.3608       2.2796
     190       2.6051       2.3305       2.0709
     191       2.3699       2.2355       2.2833
     192       2.5313       2.2033       2.1455
     193       2.3748       2.2790       2.3698
     194       2.6723       2.3563       2.0655
     195       2.4311       2.4135       2.2763
     196       2.4938       2.0903       2.1531
     197       2.3674       2.2421       2.2962
     198       2.4846       2.4436       2.2395
     199       2.2698       2.2515       2.2645
     200       2.3562       2.1449       2.1872
     201       2.3675       2.2681       2.3064
     202       2.5456       2.0903       2.1416
     203       2.3360       2.2177       2.3012
     204       2.4553       2.2317       2.1764
     205       2.5968       2.2756       2.2170
     206       2.3569       2.1411       2.1005
     207       2.4264       2.2274       2.1491
     208       2.4679       2.2903       2.4056
     209       2.3941       2.4850       2.3183
     210       2.4480       2.3834       2.2577
     211       2.3421       2.2732       2.1819
     212       2.3853       2.2842       2.2536
     213       2.2414       2.2523       2.1704
     214       2.3620       2.3789       2.2483
     215       2.2544       2.1042       2.0871
     216       2.1545       2.2463       2.2386
     217       2.4443       2.3845       2.2303
     218       2.4758       2.2933       2.2093
     219       2.4231       2.2172       2.2736
     220       2.3958       2.2526       2.2972
     221       2.2394       2.2738       2.3737
     222       2.2049       2.2293       2.1385
     223       2.4212       2.2112       2.2742
     224       2.3339       2.2121       2.1893
     225       2.2836       2.2959       2.3038
     226       2.3411       2.2401       2.3218
     227       2.3315       2.4139       2.2671
     228       2.3302       2.2993       2.3232
     229       2.4072       2.3064       2.1470
     230       2.2767       2.4311       2.4089
     231       2.1262       2.2526       2.2513
     232       2.3899       2.3314       2.2750
     233       2.4997       2.2947       2.1462
     234       2.2432       2.4410       2.2815
     235       2.4127       2.5495       2.1733
     236       2.3211       2.2108       2.2300
     237       2.2426       2.2970       2.2145
     238       2.2264       2.2287       2.1989
     239       2.3847       2.3776       2.4393
     240       2.5662       2.3888       2.3207
     241       2.3710       2.1988       2.2037
     242       2.4003       2.2239       2.2336
     243       2.5537       2.3322       2.1800
     244       2.2664       2.2639       2.2808
     245       2.2486       2.2660       2.3364
     246       2.0276       2.3287       2.3299
     247       2.1681       2.2151       2.4619
     248       2.1279       2.3237       2.1992
     249       2.1953       2.2138       2.1467
     250       2.3970       2.3835       2.3153
     251       2.3895       2.3870       2.2589
     252       2.3571       2.4917       2.1651
     253       2.4683       2.2201       2.2093
     254       2.5163       2.2400       2.3948
     255       2.1690       2.3552       2.2510
     256       2.2226       2.3327       2.1504
     257       2.2092       2.3818       2.2218
     258       2.1762       2.3292       2.2312
     259       2.4418       2.2636       2.1063
     260       2.2408       2.1608       2.1952
     261       2.1987       2.3412       2.3409
     262       2.4493       2.1790       2.3440
     263       2.4147       2.4575       2.1567
     264       2.5297       2.4014       2.1431
     265       2.3584       2.2220       2.1998
     266       2.6335       2.3422       2.2725
     267       2.5170       2.2914       2.4408
     268       2.6107       2.1660       2.2845
     269       2.2809       2.1692       2.3617
     270       2.4095       2.1251       2.3707
     271       2.4113       2.2476       2.2207
     272       2.4122       2.3289       2.1236
     273       2.4155       2.3440       2.3104
     274       2.5503       2.3599       2.1189
     275       2.5825       2.3280       2.1110
     276       2.5114       2.2490       2.3509
     277       2.8138       2.1326       2.1867
     278       2.5556       2.2294       2.1592
     279       2.4426       2.2759       2.1670
     280       2.4123       2.3666       2.2659
     281       2.6481       2.1815       2.4225
     282       2.5295       2.3043       2.2514
     283       2.3637       2.2642       2.2891
     284       2.5026       2.2840       2.2733
     285       2.5540       2.1880       2.2412
     286       2.4169       2.3279       2.2152
     287       2.2513       2.4091       2.1581
     288       2.3557       2.1568       2.2449
     289       2.1816       2.4842       2.4254
     290       2.3259       2.2495       2.2469
     291       2.3837       2.4047       2.2518
     292       2.3650       2.2349       2.4007
     293       2.4074       2.1785       2.3069
     294       2.5705       2.2789       2.4030
     295       2.4033       2.2965       2.2905
     296       2.1877       2.2943       2.3881
     297       2.4383       2.3263       2.2521
     298       2.3309       2.1635       2.2539
     299       2.4856       2.2632       2.3723
     300       2.4185       2.2689       2.2443
     301       2.3073       2.3638       2.2484
     302       2.2438       2.2005       2.2624
     303       2.4705       2.3769       2.1568
     304       2.1732       2.3479       2.1497
     305       2.4476       2.2021       2.2598
     306       2.4192       2.3751       2.1094
     307       2.2626       2.2293       2.3013
     308       2.2667       2.4892       2.2178
     309       2.3742       2.3241       2.1782
     310       2.4673       2.2776       2.3166
     311       2.2746       2.3204       2.2725
     312       2.3192       2.3444       2.1010
     313       2.0192       2.3754       2.2677
     314       2.4270       2.4473       2.3070
     315       2.1351       2.3649       2.0896
     316       2.3166       2.3005       2.2833
     317       2.3617       2.2770       2.2194
     318       2.4079       2.3203       2.2478
     319       2.3835       2.2834       2.2357
     320       2.4296       2.2742       2.2138
     321       2.2487       2.3253       2.2352
     322       2.5072       2.2401       2.2398
     323       2.2127       2.2606       2.0884
     324       2.3301       2.2476       2.3169
     325       2.4343       2.1379       2.3637
     326       2.6300       2.2225       2.3024
     327       2.4183       2.1793       2.2115
     328       2.2949       2.2917       2.2880
     329       2.2602       2.2903       2.2552
     330       2.2527       2.1894       2.1652
     331       2.4312       2.2404       2.3376
     332       2.5158       2.2379       2.2522
     333       2.4468       2.2288       2.2937
     334       2.5265       2.2280       2.2850
     335       2.4436       2.3113       2.1692
     336       2.4716       2.2682       2.1191
     337       2.6262       2.2606       2.2186
     338       2.3158       2.4399       2.2036
     339       2.6661       2.2484       2.3609
     340       2.6894       2.2117       2.1996
     341       2.3531       2.4005       2.1315
     342       2.3048       2.2985       2.3305
     343       2.3443       2.2946       2.1403
     344       2.4472       2.2273       2.1861
     345       2.4036       2.2231       2.2654
     346       2.2607       2.3316       2.4145
     347       2.4281       2.2554       2.2542
     348       2.4860       2.3085       2.2614
     349       2.3170       2.2527       2.3207
     350       2.3070       2.4901       2.2031
     351       2.2773       2.2381       2.2982
     352       2.5935       2.1334       2.2801
     353       2.4884       2.2013       2.1816
     354       2.3297       2.0371       2.2295
     355       2.3605       2.1503       2.1908
     356       2.3828       2.2155       2.2281
     357       2.2049       2.3044       2.2731
     358       2.3137       2.3089       2.0930
     359       2.1983       2.1652       2.3309
     360       2.3798       2.2327       2.3748
     361       2.4377       2.2189       2.3936
     362       2.5615       2.1616       2.2693
     363       2.2887       2.3116       2.3056
     364       2.4667       2.2054       2.3846
     365       2.3451       2.3359       2.2414
     366       2.5511       2.2635       2.1352
     367       2.3954       2.2182       2.2623
     368       2.4966       2.1391       2.0772
     369       2.5855       2.2251       2.2881
     370       2.2831       2.3384       2.2460
     371       2.4834       2.2486       2.1207
     372       2.5763       2.1887       2.3524
     373       2.4383       2.3265       2.1674
     374       2.3174       2.3116       2.1671
     375       2.3120       2.1460       2.2474
     376       2.2665       2.2314       2.2124
     377       2.4129       2.1858       2.3167
     378       2.3833       2.2193       2.3097
     379       2.1794       2.3724       2.6050
     380       2.2557       2.1043       2.2905
     381       2.3719       2.2615       2.2086
     382       2.4662       2.2692       2.3819
     383       2.4199       2.3508       2.1973
     384       2.3422       2.1538       2.2702
     385       2.2129       2.2819       2.1664
     386       2.3717       2.2387       2.2995
     387       2.2810       2.1983       2.2801
     388       2.3476       2.0860       2.4452
     389       2.8096       2.1992       2.2471
     390       2.3965       2.2173       2.4547
     391       2.2391       2.4301       2.2113
     392       2.2819       2.1938       2.2142
     393       2.3952       2.3722       2.3706
     394       2.3041       2.2561       2.2458
     395       2.3428       2.2017       2.2772
     396       2.5285       2.0953       2.2013
     397       2.2268       2.2449       2.1862
     398       2.3028       2.3698       2.0125
     399       2.3382       2.2989       2.1077
     400       2.3574       2.1725       2.1267
     401       2.4566       2.2321       2.3019
     402       2.3580       2.1456       2.2399
     403       2.4537       2.3244       2.2207
     404       2.4082       2.2078       2.2411
     405       2.4021       2.1404       2.2134
     406       2.4434       2.1654       2.2643
     407       2.3239       2.2639       2.2831
     408       2.3550       2.3273       2.2027
     409       2.5016       2.3151       2.2031
     410       2.3446       2.3977       2.1900
     411       2.3300       2.3389       2.3030
     412       2.2960       2.2259       2.2019
     413       2.4288       2.3214       2.3441
     414       2.5592       2.1945       2.2101
     415       2.7176       2.2698       2.2747
     416       2.3076       2.2425       2.2260
     417       2.3887       2.3171       2.1912
     418       2.2615       2.1829       2.1521
     419       2.3971       2.1567       2.3311
     420       2.4397       2.2166       2.2210
     421       2.3651       2.3460       2.1831
     422       2.3195       2.3247       2.2400
     423       2.4752       2.3368       2.2373
     424       2.3459       2.3702       2.2638
     425       2.2105       2.3681       2.5138
     426       2.5875       2.3461       2.1657
     427       2.3490       2.0910       2.2668
     428       2.4970       2.2287       2.1911
     429       2.3727       2.1828       2.2982
     430       2.3326       2.1558       2.3283
     431       2.4164       2.1462       2.1722
