#Frame            rog     rog[Max]
     246      24.4303      40.9189
     247      24.5304      40.8990
     248      24.4654      40.7931
     249      24.3395      38.4432
     250      24.3997      39.5690
     251      24.5192      41.2438
     252      24.4578      39.3774
     253      24.5165      39.7792
     254      24.4767      39.2888
     255      24.3774      40.1626
     256      24.4299      39.8759
     257      24.5416      41.7614
     258      24.4252      41.8725
     259      24.4479      42.2296
     260      24.5755      41.1878
     261      24.5373      41.5882
     262      24.5301      40.4038
     263      24.4791      40.8578
     264      24.3985      39.8403
     265      24.4289      42.0482
     266      24.3426      43.0420
     267      24.5085      42.7620
     268      24.4980      41.8384
     269      24.4998      41.4059
     270      24.5195      42.4759
     271      24.5667      42.4649
     272      24.5930      42.8593
     273      24.5126      41.0718
     274      24.5980      40.8716
     275      24.5261      39.8417
     276      24.5744      39.3949
     277      24.5350      39.0957
     278      24.4701      37.3017
     279      24.3376      37.3134
     280      24.4051      38.9491
     281      24.5269      38.6109
     282      24.4069      38.9807
     283      24.4185      38.7428
     284      24.3721      37.3607
     285      24.4239      37.5238
     286      24.3912      37.2670
     287      24.3344      51.0136
     288      24.4705      51.3241
     289      24.5353      37.4696
     290      24.5264      38.1910
     291      24.3737      37.1054
     292      24.4862      36.6266
     293      24.3454      37.0159
     294      24.3941      39.9761
     295      24.3677      40.7974
     296      24.4627      39.3724
     297      24.4948      39.8646
     298      24.4753      40.4763
     299      24.4985      39.8499
     300      24.5418      40.3353
     301      24.3552      38.5268
     302      24.3493      38.5725
     303      24.3887      39.0088
     304      24.3990      36.6741
     305      24.3756      37.0881
     306      24.4434      36.1272
     307      24.3100      37.8481
     308      24.3772      51.1854
     309      24.3176      37.7530
     310      24.2770      35.4219
     311      24.3961      37.9882
     312      24.4682      37.9619
     313      24.3695      38.6585
     314      24.2400      37.7508
     315      24.2988      36.8117
     316      24.2945      37.1380
     317      24.3125      38.0199
     318      24.4013      37.7091
     319      24.3347      37.1242
     320      24.3713      53.1030
     321      24.3022      37.4636
     322      24.3356      37.3449
     323      24.3233      37.7475
     324      24.2147      36.3532
     325      24.2327      37.7330
     326      24.2952      38.4185
     327      24.3029      37.3830
     328      24.3235      37.1614
     329      24.1283      36.9621
     330      23.9774      36.3753
     331      24.1222      35.5759
     332      24.1442      52.0474
     333      24.1335      52.4535
     334      24.1154      36.5995
     335      24.1431      35.9569
     336      24.1011      36.3704
     337      24.2007      37.1211
     338      24.2398      36.9217
     339      24.2712      38.7129
     340      24.2083      37.7630
     341      24.2273      38.1324
     342      24.2142      37.4816
     343      23.9739      36.7615
     344      24.1183      36.2470
     345      24.0911      50.0015
     346      24.1878      50.5561
     347      24.1491      51.7020
     348      24.1527      36.3038
     349      24.1410      37.1995
     350      24.1120      36.6479
     351      24.1470      35.6871
     352      24.2119      35.8553
     353      24.2232      51.0768
     354      24.2299      36.0155
     355      24.1950      35.2718
     356      24.1850      36.0097
     357      24.0743      35.4384
     358      24.0178      49.6056
     359      24.0322      34.7846
     360      24.0209      48.9261
     361      24.1021      35.2357
     362      24.1064      35.9538
     363      24.0956      50.8757
     364      24.1094      49.5399
     365      24.0538      48.9632
     366      23.9076      50.0496
     367      24.0105      49.9386
     368      24.1412      49.5046
     369      24.1044      35.5924
     370      23.9973      35.7869
     371      24.0776      35.2329
     372      24.1220      35.5456
     373      24.1725      37.9366
     374      24.0803      36.1732
     375      24.0584      36.9204
     376      24.1124      35.6256
     377      24.1307      36.8524
     378      24.1087      37.0196
     379      24.2165      35.4084
     380      24.2250      35.0979
     381      24.2020      50.1179
