#Frame      Mn1_Ox_OZ    Mn1_Ox_OY    Mn1_Ox_OX
     176       2.1480       4.1549       2.4684
     177       2.1304       4.1353       2.2851
     178       2.1514       4.0243       2.2852
     179       2.1633       4.1086       2.2251
     180       2.0482       4.0908       2.3387
     181       2.0677       3.9854       2.3085
     182       2.0438       4.0082       2.3227
     183       2.0648       3.8988       2.1885
     184       1.9872       4.0123       2.4814
     185       2.1751       4.2004       2.3441
     186       2.0531       3.9404       2.1736
     187       2.1402       4.0753       2.3189
     188       2.1446       4.0959       2.3661
     189       2.1081       4.0636       2.3458
     190       2.0540       3.9259       2.2556
     191       2.0789       3.9656       2.4415
     192       2.1153       4.1337       2.3973
     193       2.2674       4.2514       2.3399
     194       2.0848       4.0989       2.2980
     195       2.1271       4.1306       2.5056
     196       2.1408       4.0564       2.2476
     197       2.0434       3.9986       2.5247
     198       2.0686       3.9774       2.3640
     199       2.1845       4.1624       2.3527
     200       2.0311       3.9176       2.3555
     201       2.0393       4.0598       2.2482
     202       2.0476       4.0867       2.2078
     203       2.0330       3.9903       2.3920
     204       2.0958       3.9789       2.2220
     205       2.0299       3.8660       2.4531
     206       1.9969       3.9297       2.4184
     207       2.1129       4.0500       2.1434
     208       1.9753       3.9452       2.3693
     209       1.9935       3.7932       2.2905
     210       2.1456       4.1761       2.3089
     211       2.0013       3.9196       2.4592
     212       2.0053       4.0144       2.2227
     213       1.9599       3.9844       2.2892
     214       2.1641       4.0135       2.4019
     215       2.1397       4.1186       2.2255
     216       2.1303       4.0345       2.4004
     217       1.9757       3.9008       2.3807
     218       2.0270       3.9328       2.2739
     219       2.0471       4.0576       2.3709
     220       2.1219       4.0605       2.3566
     221       2.1457       4.0669       2.2925
     222       2.0987       4.1370       2.6521
     223       2.0753       4.0624       2.3207
     224       2.1474       4.0441       2.4052
     225       1.9849       3.9447       2.2576
     226       2.0706       4.0281       2.3852
     227       2.0369       3.9990       2.1992
     228       2.0358       4.0134       2.2192
     229       2.1616       4.1014       2.4101
     230       2.1447       4.0160       2.3153
     231       2.0595       4.0039       2.1827
     232       2.1639       4.1055       2.2500
     233       2.0720       4.0190       2.3643
     234       2.1964       4.1927       2.1820
     235       2.0116       3.8980       2.2815
     236       2.0964       3.8848       2.1815
     237       2.0403       3.9587       2.2216
     238       2.0090       3.9266       2.1271
     239       2.1288       4.0331       2.2637
     240       2.0868       4.0687       2.1608
     241       1.9336       3.8558       2.2434
     242       2.2540       4.2862       2.3718
     243       2.0444       4.0582       2.3481
     244       1.9842       3.9719       2.3418
     245       2.0592       4.0171       2.3691
     246       2.0939       4.1304       2.3393
     247       2.0962       4.0468       2.4334
     248       1.9904       3.9338       2.4206
     249       2.0251       4.0188       2.3822
     250       2.0433       3.9512       2.1556
     251       2.0666       3.9536       2.3195
     252       2.0826       4.0975       2.3376
     253       2.0806       4.0436       2.3422
     254       2.0753       3.9561       2.2549
     255       2.0946       4.0137       2.2810
     256       2.1180       4.0361       2.4377
     257       2.1172       4.1367       2.3229
     258       2.0808       4.0517       2.0832
     259       2.0386       4.0246       2.3338
     260       2.0392       3.9916       2.1692
     261       2.0231       3.8926       2.2389
     262       2.0586       3.8602       2.4600
     263       2.0802       4.0840       2.4155
     264       2.1309       4.1803       2.3663
     265       2.0809       3.9889       2.4205
     266       2.1168       4.0599       2.2004
     267       1.9804       4.0360       2.3815
     268       2.0121       3.9591       2.3706
     269       2.0975       3.9850       2.2667
     270       2.0540       4.0999       2.3104
     271       2.1504       4.0881       2.3813
     272       2.1134       4.1479       2.3222
     273       2.0193       3.9238       2.1931
     274       2.1194       4.0102       2.2001
     275       1.9964       3.9472       2.3287
     276       2.2033       4.2345       2.4330
     277       2.0937       4.0248       2.3175
     278       2.1096       4.1545       2.3611
     279       2.0707       3.9911       2.2932
     280       2.1665       4.2351       2.2322
     281       1.9845       3.9662       2.4729
     282       2.1744       3.9560       2.2960
     283       2.0791       4.0316       2.5599
     284       1.9144       3.9242       2.5107
     285       2.1184       4.0450       2.2150
     286       2.0432       3.9762       2.2714
     287       2.0577       4.0231       2.5778
     288       1.9653       4.0557       2.4392
     289       2.0898       4.0739       2.5785
     290       2.0343       4.0589       2.4115
     291       2.1470       4.1383       2.3862
     292       2.0469       3.8952       2.1778
     293       1.9918       4.0202       2.3084
     294       2.0085       4.0301       2.3258
     295       2.0089       3.8865       2.4238
     296       2.0884       3.9992       2.3835
     297       2.0663       4.0506       2.2699
     298       2.0703       4.0691       2.5251
     299       2.2069       4.0718       2.3551
     300       2.0827       4.1007       2.3324
     301       2.0891       3.9660       2.4450
     302       2.0029       3.9897       2.4861
     303       2.1886       4.1071       2.2877
     304       2.1360       4.0407       2.3895
     305       2.0416       4.0240       2.3318
     306       2.1087       4.0648       2.3531
     307       2.1629       4.0291       2.1696
     308       2.0924       3.8761       2.2603
     309       2.0281       3.9481       2.3898
     310       2.0458       4.0289       2.3909
     311       2.1448       4.1511       2.4930
     312       2.1879       4.1644       2.3316
     313       2.0599       3.9768       2.1323
     314       2.1457       4.0794       2.4250
     315       2.1207       4.1763       2.4970
     316       2.0616       4.0358       2.3117
     317       2.1397       4.1678       2.2811
     318       2.0521       4.0611       2.3095
     319       2.1145       4.0390       2.3631
     320       2.2272       4.1846       2.2205
     321       2.0218       3.9090       2.2292
     322       1.9857       3.9202       2.3137
     323       2.0879       4.1377       2.4970
     324       2.1743       4.1396       2.4237
     325       2.1605       4.1636       2.5066
     326       2.0170       4.0736       2.3007
     327       2.0576       3.9907       2.3756
     328       2.0316       4.0148       2.3838
     329       2.0369       3.9934       2.3186
     330       2.1220       3.9684       2.3111
     331       1.9970       4.0454       2.4909
     332       2.0668       4.0463       2.1857
     333       2.0281       4.0290       2.3033
     334       2.0675       4.0160       2.1938
     335       2.1399       4.0664       2.5070
     336       2.0767       4.0669       2.3584
     337       2.0460       4.0755       2.3554
     338       2.1115       4.0772       2.2231
     339       2.1042       3.9158       2.3902
     340       2.1334       4.1535       2.4891
     341       2.2569       4.2877       2.5211
     342       2.1156       4.0544       2.3271
     343       2.1293       3.7146       2.4556
     344       2.1823       4.0842       2.4961
     345       2.0737       4.0093       2.2751
     346       2.0587       4.0160       2.1543
     347       1.9483       3.8235       2.2355
     348       2.0417       4.0129       2.3920
     349       2.0342       3.9178       2.2142
     350       2.0450       3.9609       2.3674
     351       2.2519       4.0832       2.4246
     352       2.1378       4.0523       2.0768
     353       2.1993       4.1858       2.4565
     354       2.1305       4.1238       2.5475
     355       1.9440       4.0147       2.3283
     356       2.1442       4.0476       2.3281
     357       2.1141       4.0623       2.5146
     358       2.0581       4.0150       2.3735
     359       2.0379       3.9892       2.3119
     360       2.1516       4.0935       2.1762
