#Frame            RoG     RoG[Max]
     245      24.1076      46.5710
     246      24.1585      46.3490
     247      24.0861      45.6932
     248      24.1081      46.0679
     249      24.1935      46.4180
     250      24.0927      45.9926
     251      24.1402      46.5227
     252      24.0669      45.3008
     253      23.9938      44.8739
     254      24.0528      45.7924
     255      24.0741      45.6600
     256      24.0559      44.8546
     257      24.1250      45.3081
     258      24.1529      44.7282
     259      24.1579      44.8341
     260      24.2806      46.4503
     261      24.3124      46.8865
     262      24.3722      47.3976
     263      24.3393      46.7679
     264      24.3303      46.3675
     265      24.1998      45.9859
     266      24.2435      46.4699
     267      24.2010      46.1106
     268      24.2673      46.8228
     269      24.4620      48.3105
     270      24.3044      47.4686
     271      24.2338      46.5670
     272      24.1909      46.3580
     273      24.2057      46.5557
     274      24.2766      47.4493
     275      24.3293      48.1255
     276      24.4447      48.5789
     277      24.2397      46.8984
     278      24.3170      47.1914
     279      24.3115      47.8650
     280      24.2561      47.7177
     281      24.3824      47.6598
     282      24.4304      48.0064
     283      24.3294      47.8533
     284      24.4160      47.7716
     285      24.3783      48.5563
     286      24.3521      48.4154
     287      24.3333      48.3536
     288      24.2589      47.3734
     289      24.3262      47.9925
     290      24.4018      48.3828
     291      24.4704      47.6742
     292      24.3378      46.7611
     293      24.2397      47.1135
     294      24.2139      47.3712
     295      24.3548      47.7849
     296      24.2869      46.4901
     297      24.2559      46.6192
     298      24.2204      45.7913
     299      24.2367      46.4706
     300      24.1822      46.5861
     301      24.2248      46.0564
     302      24.3030      46.5694
     303      24.1710      45.5475
     304      24.3370      46.6795
     305      24.2859      46.5295
     306      24.2077      46.4641
     307      24.3343      46.3879
     308      24.2148      45.8610
     309      24.2711      45.8053
     310      24.2784      46.4437
     311      24.1944      46.0968
     312      24.1540      45.8634
     313      24.2036      46.6192
     314      24.1911      45.8416
     315      24.2453      45.5693
     316      24.2501      46.3093
     317      24.2385      46.4566
     318      24.1210      45.7141
     319      24.0820      45.5889
     320      24.2094      46.5609
     321      24.1704      46.6280
     322      24.2441      46.7811
     323      24.3664      46.3431
     324      24.2127      45.7408
     325      24.1350      46.0888
     326      24.1626      45.8744
     327      24.1746      45.6391
     328      24.1461      45.1833
     329      24.1787      46.0869
     330      24.0179      45.6571
     331      24.1654      46.5652
     332      24.2141      46.3888
     333      24.2166      46.8183
     334      24.2702      46.5018
     335      24.2237      45.6386
     336      24.3269      46.3540
     337      24.3376      46.1892
     338      24.1971      45.3886
     339      24.1988      45.6422
     340      24.2821      45.4170
     341      24.2570      45.9009
     342      24.2887      45.6865
     343      24.2892      45.5282
     344      24.1175      44.9706
     345      24.1057      45.1089
     346      24.0256      44.6000
     347      24.2144      44.9765
     348      24.1523      45.1980
     349      24.2171      45.4042
     350      24.2813      45.9056
     351      24.2095      45.0562
     352      24.1641      45.1834
     353      24.1627      45.5314
     354      24.1836      45.6136
     355      24.1321      45.8544
     356      24.2332      45.9774
     357      24.2035      45.7055
