#Frame            RoG     RoG[Max]
     245      24.5145      48.6939
     246      24.4285      48.4334
     247      24.5271      48.8719
     248      24.4693      48.4692
     249      24.3241      48.3278
     250      24.4067      49.0223
     251      24.5199      49.9270
     252      24.4552      49.0251
     253      24.5048      48.8117
     254      24.4730      48.9614
     255      24.3762      48.4253
     256      24.4210      48.7035
     257      24.5459      48.9469
     258      24.4293      48.0317
     259      24.4382      48.0863
     260      24.5800      48.0166
     261      24.5326      47.9295
     262      24.5304      47.9609
     263      24.4813      48.3952
     264      24.4066      48.2569
     265      24.4153      48.0269
     266      24.3350      47.9831
     267      24.5227      48.7501
     268      24.4990      49.4777
     269      24.5051      48.6511
     270      24.5262      48.6825
     271      24.6161      49.6730
     272      24.6260      49.2676
     273      24.5486      49.4684
     274      24.6376      49.8353
     275      24.5666      50.4427
     276      24.6017      50.0023
     277      24.5646      49.5728
     278      24.5004      49.5588
     279      24.3539      49.5297
     280      24.4232      48.1223
     281      24.5469      49.0813
     282      24.4317      48.5881
     283      24.4465      49.3092
     284      24.4004      48.8210
     285      24.4630      48.4034
     286      24.4259      48.5630
     287      24.3736      48.1909
     288      24.5131      48.4511
     289      24.5592      48.5530
     290      24.5344      49.3750
     291      24.3985      49.0904
     292      24.5246      48.7047
     293      24.3813      48.7597
     294      24.4162      48.4956
     295      24.3731      48.4939
     296      24.4606      48.6467
     297      24.4962      48.6003
     298      24.4966      48.9982
     299      24.5064      48.3266
     300      24.5557      49.3433
     301      24.3554      48.5435
     302      24.3579      48.3678
     303      24.3991      48.2157
     304      24.4045      48.2854
     305      24.3906      48.6626
     306      24.4616      48.0063
     307      24.3390      48.3716
     308      24.4024      48.6325
     309      24.3417      47.8765
     310      24.2815      47.6470
     311      24.4103      47.5466
     312      24.4606      48.4906
     313      24.3679      48.6975
     314      24.2353      47.6744
     315      24.3183      48.5606
     316      24.3184      47.9409
     317      24.3244      47.7604
     318      24.4184      48.4285
     319      24.3447      48.2224
     320      24.3813      48.6989
     321      24.3154      48.7805
     322      24.3481      48.5325
     323      24.3505      48.0124
     324      24.2298      47.7335
     325      24.2244      47.3619
     326      24.2807      47.7441
     327      24.2896      47.5446
     328      24.3286      47.3671
     329      24.1239      47.1201
     330      23.9828      46.3077
