#Frame      Mn1_Ox_OZ    Mn1_Ox_OY    Mn1_Ox_OX
     176       2.1214       3.9987       2.2611
     177       2.0425       3.9776       2.1049
     178       2.1194       3.9298       2.3175
     179       2.1219       4.1169       2.3879
     180       2.1105       4.1231       2.2588
     181       2.0413       3.9978       2.2073
     182       2.1297       4.0872       2.4966
     183       2.0263       3.9917       2.4585
     184       2.0423       3.9972       2.2643
     185       2.1334       4.0538       2.2906
     186       2.1517       4.1512       2.3393
     187       2.1144       4.1170       2.1605
     188       1.9498       3.9122       2.2666
     189       2.1859       3.9754       2.1855
     190       2.0262       3.9563       2.3686
     191       2.0486       3.9556       2.3398
     192       2.0880       3.9721       2.2370
     193       2.0877       4.0120       2.4213
     194       2.0011       4.0208       2.4036
     195       2.1607       4.1331       2.1427
     196       2.0813       3.9746       2.0269
     197       2.1822       4.2050       2.4349
     198       2.1373       4.1414       2.3737
     199       2.0166       4.0581       2.3871
     200       2.2057       4.1451       2.2500
     201       1.9913       3.9415       2.2761
     202       2.0750       4.0191       2.4444
     203       2.1319       4.1227       2.3359
     204       2.0241       3.8371       2.1988
     205       2.1153       4.1118       2.4290
     206       2.1329       4.0853       2.3414
     207       2.0757       4.0635       2.4451
     208       2.0320       4.0519       2.5056
     209       2.0195       3.9968       2.3342
     210       2.0834       3.9794       2.2830
     211       2.1122       3.9846       2.3272
     212       2.0372       4.0036       2.4630
     213       2.1544       4.1517       2.4054
     214       2.1029       4.0891       2.3321
     215       2.0575       4.1533       2.5289
     216       2.1757       4.1772       2.2884
     217       2.0548       3.9424       2.4662
     218       2.1711       4.1332       2.1669
     219       2.1662       4.1003       2.3900
     220       2.1215       4.0689       2.3852
     221       2.1472       4.1386       2.3375
     222       2.0248       3.8647       2.3241
     223       2.0809       4.0884       2.2532
     224       2.0781       4.0124       2.3231
     225       2.0376       4.0185       2.2368
     226       2.1529       4.0967       2.4477
     227       2.0388       4.0132       2.3442
     228       2.0252       3.9723       2.3618
     229       2.1973       4.2403       2.5599
     230       2.0356       3.9736       2.3364
     231       2.1285       4.0528       2.4419
     232       2.0237       4.0162       2.5685
     233       2.1300       3.9670       2.3462
     234       1.9932       3.9068       2.2249
     235       2.1029       4.0638       2.4912
     236       2.0854       4.0568       2.2145
     237       2.0981       4.0231       2.3567
     238       2.0600       4.0216       2.3122
     239       2.0652       4.0694       2.4125
     240       2.0371       3.9237       2.3841
     241       2.1478       4.1096       2.4346
     242       1.9771       3.9523       2.4223
     243       2.1080       4.1275       2.2986
     244       2.1012       4.0149       2.2959
     245       2.1102       4.0902       2.4895
     246       2.0933       4.0897       2.2803
     247       2.0203       4.0577       2.4523
     248       2.0550       4.0586       2.3354
     249       2.0687       4.0734       2.3763
     250       2.1304       4.0301       2.4388
     251       2.0900       4.0567       2.4536
     252       2.1335       4.0436       2.4789
     253       2.1100       3.9977       2.2936
     254       2.0734       3.9548       2.2016
     255       2.1259       4.1253       2.5372
     256       2.0859       4.1357       2.4413
     257       2.1862       4.2082       2.4133
     258       2.0813       4.0322       2.3718
     259       1.9961       4.0101       2.2839
     260       2.0760       4.0371       2.4925
     261       2.1158       3.9905       2.4045
     262       2.1579       4.1261       2.3268
     263       2.0788       4.1040       2.5447
     264       2.1292       3.9885       2.2610
     265       2.1960       4.1105       2.2833
     266       2.1177       4.1368       2.2211
     267       2.1580       4.1202       2.1254
     268       2.1309       4.0665       2.1819
     269       2.0540       4.0169       2.2577
     270       2.1704       4.0778       2.2985
     271       2.2118       4.0423       2.0429
     272       1.9316       3.8948       2.4113
     273       2.1375       4.0519       2.3957
     274       2.2018       4.1288       2.2784
     275       2.0688       3.9814       2.3008
     276       1.9478       3.8613       2.3127
     277       2.0034       3.9286       2.1828
     278       2.1116       4.0966       2.3133
     279       2.0306       3.9725       2.3581
     280       2.0884       4.0563       2.3428
     281       2.0461       3.9762       2.3665
     282       2.0414       3.9967       2.1989
     283       1.9674       3.9418       2.2690
     284       2.1249       4.1274       2.4611
     285       2.0448       3.8996       2.4021
     286       2.0716       3.9403       2.1548
     287       1.9629       3.9788       2.2960
     288       2.1159       4.0684       2.1967
     289       2.0525       4.0664       2.3332
     290       1.9658       3.9606       2.3582
     291       2.1338       4.0702       2.2234
     292       2.1091       4.1110       2.3206
     293       1.9807       3.9058       2.4803
     294       2.0555       3.9995       2.3981
     295       2.0775       4.0785       2.4274
     296       2.0662       3.9630       2.1512
     297       2.0861       3.9429       2.4398
     298       2.2007       4.2053       2.2845
     299       2.0033       4.0325       2.5273
     300       2.1049       4.0410       2.2439
     301       2.2569       4.1659       2.3790
     302       2.0772       4.1048       2.3581
     303       2.1881       4.1353       2.3657
     304       2.0799       4.0291       2.4072
     305       2.1099       4.0241       2.2321
     306       2.1432       4.0473       2.3216
     307       1.9368       3.8834       2.3505
     308       2.0304       4.0625       2.2770
     309       2.0719       3.9971       2.4793
     310       2.1536       4.0864       2.1367
     311       2.0145       3.9111       2.2078
     312       2.0848       4.0365       2.5181
     313       2.0267       4.0439       2.4647
     314       1.9326       3.9560       2.3356
     315       2.1171       4.0911       2.4577
     316       2.1475       4.1224       2.5641
     317       2.0826       4.0444       2.4017
     318       1.9226       3.9324       2.3955
     319       2.0560       3.9783       2.4909
     320       2.0204       4.0090       2.1305
     321       2.0842       4.1650       2.4092
     322       2.1290       4.0578       2.3379
     323       1.9851       3.9347       2.3429
     324       2.0287       3.9994       2.4447
     325       2.0453       3.9825       2.6041
     326       2.1719       4.0629       2.3474
     327       2.0402       3.9705       2.3587
     328       2.0545       4.0900       2.4460
     329       2.0561       3.9671       2.4122
     330       2.1097       3.9601       2.5175
     331       2.1458       4.1451       2.2976
     332       2.0057       3.9147       2.1360
     333       1.9901       3.8966       2.3836
     334       2.0560       4.0030       2.3296
     335       2.0274       4.1084       2.2557
     336       2.2145       4.1660       2.3129
     337       1.9440       4.0051       2.4747
     338       2.1360       4.0709       2.4197
     339       2.0845       4.0314       2.3413
     340       2.0847       3.9382       2.2511
     341       2.1352       4.1567       2.6612
     342       2.0395       3.9267       2.3764
     343       2.0007       3.9676       2.1956
     344       2.0323       3.9359       2.3851
     345       2.0592       4.1282       2.3701
     346       2.2483       4.2354       2.5103
     347       2.1310       4.1040       2.3401
     348       2.0335       4.1146       2.4335
     349       2.0830       4.0980       2.3599
     350       1.9587       3.9557       2.2887
     351       1.9672       3.8378       2.4242
     352       2.1825       4.0695       2.2111
     353       2.1180       3.9923       2.3033
     354       2.1191       4.0621       2.3302
     355       2.1234       4.1119       2.4984
     356       2.0247       3.9795       2.3159
     357       2.1105       3.9972       2.4243
     358       2.0809       4.0611       2.1822
     359       2.1586       4.0787       2.3431
     360       2.1062       4.0670       2.5776
     361       1.9835       3.9617       2.3334
     362       2.0836       4.0551       2.4075
     363       2.0086       3.9180       2.2485
     364       2.0814       3.9127       2.3663
     365       2.1538       4.1760       2.4861
     366       2.1803       4.2055       2.4272
     367       2.1595       4.0669       2.2768
     368       2.1252       4.1013       2.3027
     369       2.0748       3.9743       2.2546
     370       2.2353       4.2485       2.3591
     371       1.9465       3.9657       2.4479
     372       2.0904       3.9601       2.3823
     373       2.0153       3.9903       2.4211
     374       2.0862       4.0662       2.3425
     375       2.0837       4.1598       2.3639
     376       2.0135       4.0206       2.4769
     377       2.0092       4.1113       2.5863
     378       1.9761       4.0182       2.1495
     379       1.9350       4.0191       2.3936
     380       2.1256       4.1788       2.3786
     381       2.2076       4.1521       2.4231
     382       2.1185       4.0732       2.2282
     383       2.0654       3.9896       2.3552
     384       2.1679       4.0506       2.3853
     385       2.1449       4.0990       2.4010
     386       2.0915       4.0268       2.3388
     387       2.0927       3.9137       2.3564
     388       2.0577       3.9389       2.2249
     389       2.0244       3.9625       2.0821
     390       2.2099       4.1355       2.3269
     391       2.0170       4.0013       2.3815
     392       2.1530       4.2640       2.4377
     393       2.1620       3.9986       2.3317
     394       2.0610       4.0683       2.4228
     395       2.1616       4.1026       2.2738
     396       2.0475       3.9638       2.1777
     397       1.9879       3.9240       2.5185
     398       2.1864       4.1647       2.4375
     399       2.0207       4.0490       2.3014
     400       2.1466       4.1028       2.2793
     401       2.1532       4.1281       2.5066
     402       2.0737       4.0860       2.2629
     403       2.0721       4.0446       2.4723
     404       2.0897       4.0096       2.2679
     405       2.0769       4.0044       2.2860
     406       2.0634       3.9590       2.1985
     407       1.9938       3.9471       2.2930
     408       2.0640       4.0095       2.1778
     409       2.2493       4.1037       2.2811
     410       2.1140       4.0991       2.3375
     411       2.0624       4.1368       2.3981
     412       2.0780       4.0271       2.4281
     413       1.9097       3.9307       2.3878
     414       1.9683       3.9275       2.3685
     415       1.9831       3.9639       2.2905
     416       2.1352       4.1287       2.3579
     417       2.1752       4.1257       2.4526
     418       2.2698       4.1543       2.3334
     419       2.0447       4.0456       2.4602
     420       2.1579       4.1310       2.4978
     421       1.9923       4.0404       2.3861
     422       1.9998       4.0055       2.2410
     423       2.1658       4.0077       2.1737
     424       2.1509       4.1178       2.2819
     425       2.0567       4.1319       2.3105
     426       2.1168       3.9863       2.4800
     427       2.1310       4.0153       2.2800
     428       1.9849       3.9339       2.4840
     429       2.2116       4.1813       2.4267
     430       2.0895       4.0433       2.2206
     431       2.1380       4.0341       2.4508
     432       2.0820       4.0449       2.3888
     433       2.1383       4.0871       2.2990
     434       2.0499       3.9754       2.3210
     435       2.0147       3.9421       2.1483
     436       2.0677       4.1127       2.3361
     437       2.1290       4.0428       2.4440
     438       2.2377       4.1315       2.3260
     439       2.1403       4.1023       2.5011
     440       2.2007       4.1525       2.4919
     441       2.1176       4.1295       2.4210
     442       2.0553       4.0561       2.3520
     443       2.1382       4.1366       2.4130
     444       2.0976       4.0547       2.4110
     445       2.1542       4.0188       2.2232
     446       2.1519       4.0490       2.2387
     447       2.1975       4.2055       2.4729
     448       2.0230       4.0151       2.2410
     449       2.1358       4.1426       2.3841
     450       2.2239       4.1870       2.4323
     451       1.9976       3.9633       2.4821
     452       2.1093       4.1175       2.5285
     453       2.0863       4.0517       2.2820
     454       2.1569       4.0217       2.2452
     455       2.0358       3.9713       2.2477
     456       2.1137       4.1113       2.2970
     457       2.0063       3.9848       2.3747
     458       2.1168       4.1436       2.6080
     459       2.0987       4.0374       2.1783
     460       2.1363       4.1347       2.2277
     461       2.1858       4.1445       2.2878
     462       2.1270       4.1144       2.3456
     463       2.0726       3.9992       2.3729
     464       2.0695       4.0136       2.2236
     465       1.9849       3.9625       2.3448
     466       1.9486       3.9270       2.3520
     467       2.0947       3.9761       2.1936
     468       2.1293       4.0317       2.3821
     469       2.1728       4.0826       2.3581
     470       2.1088       4.0461       2.2284
     471       2.1284       4.0440       2.2758
     472       2.1594       4.0517       2.2585
     473       2.2033       4.1081       2.3460
     474       1.9811       3.9091       2.2895
     475       2.1850       4.1642       2.2576
     476       2.1630       4.0064       2.3324
     477       1.9901       4.0398       2.2660
     478       2.0359       3.9692       2.1987
     479       2.1133       4.0791       2.6489
     480       2.0651       4.0542       2.2478
     481       2.0977       4.1694       2.4348
     482       2.1364       4.1243       2.4494
     483       2.1669       4.1058       2.4148
     484       2.0997       3.9012       2.3988
     485       2.0852       4.0491       2.4649
     486       2.0804       4.0376       2.3278
     487       2.1154       4.0726       2.2382
     488       2.0537       3.9676       2.3584
     489       2.0867       4.1178       2.4561
     490       2.0880       4.0863       2.3778
     491       2.0577       4.0549       2.4080
     492       2.0666       4.0350       2.4917
     493       2.0846       3.9692       2.3496
     494       2.0062       4.0676       2.3227
     495       2.2434       4.1284       2.4229
     496       2.0640       4.0533       2.3863
     497       2.0704       3.9450       2.2124
     498       2.0379       4.0539       2.5187
     499       2.0355       3.9380       2.3275
     500       2.1029       4.0637       2.4432
     501       2.0778       4.1044       2.4013
     502       1.9382       4.0033       2.3817
     503       2.0406       4.0275       2.4988
     504       2.1658       4.1844       2.3942
     505       2.0951       4.0456       2.5640
     506       2.1295       3.9724       2.3908
     507       2.1581       4.0413       2.3560
     508       2.0756       3.9915       2.3120
     509       2.1963       4.2190       2.4999
     510       2.0268       4.0182       2.4476
     511       2.0246       4.0817       2.4046
     512       2.0876       4.0842       2.4803
     513       1.9459       3.9685       2.2663
     514       2.0892       4.0997       2.3835
     515       2.0646       4.0804       2.2703
     516       2.1169       4.0595       2.4153
     517       2.0595       4.0104       2.3055
     518       2.2184       4.2248       2.5015
     519       2.0691       4.1340       2.4721
     520       2.0937       4.1324       2.4033
     521       2.0174       3.9151       2.2159
     522       2.0599       3.9238       2.4532
     523       2.0384       3.9513       2.4488
     524       2.1287       3.9741       2.3108
     525       2.0913       4.0473       2.3231
     526       2.1100       4.0174       2.3801
     527       2.2002       4.0847       2.1454
     528       2.0807       4.0689       2.3210
     529       2.1555       4.1334       2.2422
     530       2.0846       4.0844       2.4736
     531       2.1452       4.0560       2.2934
     532       2.0970       4.0889       2.5045
     533       1.9938       3.9589       2.3062
     534       2.0723       4.0751       2.3526
     535       2.0150       4.0510       2.2449
     536       2.1866       4.1762       2.5273
     537       1.9975       3.9742       2.3725
     538       2.0595       4.0029       2.4140
     539       2.2123       3.9999       2.4422
     540       2.1982       4.1749       2.3166
     541       2.2252       4.1017       2.6040
     542       2.1336       4.0827       2.3950
     543       2.1002       4.1207       2.4991
     544       2.1498       3.9729       2.4048
     545       2.1246       4.0981       2.4199
     546       2.1013       4.0480       2.5363
     547       2.1686       4.1927       2.4329
     548       2.0408       4.0202       2.4323
     549       2.0382       4.0088       2.0678
     550       2.1257       4.0907       2.4678
     551       2.0725       4.0580       2.3819
     552       1.9899       4.0472       2.3860
     553       2.1317       4.1055       2.5374
     554       2.1008       3.9656       2.1892
     555       2.0660       4.0696       2.2339
     556       2.1338       4.0271       2.2043
     557       2.0938       4.0368       2.2536
     558       2.0907       4.0728       2.3044
     559       2.2125       4.2055       2.2931
     560       2.1720       4.1576       2.4943
     561       2.2122       4.1514       2.2910
     562       1.9006       3.8482       2.3513
     563       2.1626       4.0850       2.3279
     564       2.1037       4.0840       2.4539
     565       2.1277       4.1384       2.4197
     566       2.0431       3.9548       2.2554
     567       2.0014       3.9493       2.4627
     568       2.0081       4.0034       2.3073
     569       2.1587       4.1262       2.4682
     570       2.0282       3.8726       2.3423
     571       2.0838       4.0547       2.3378
     572       2.1204       4.0636       2.3118
     573       2.0744       3.9426       2.3017
     574       2.1390       4.1130       2.4181
     575       2.0402       4.0502       2.2932
     576       2.0443       3.9445       2.4674
     577       1.9584       3.9944       2.3316
     578       2.1187       4.0704       2.3793
     579       2.1581       4.1742       2.3850
     580       2.1239       4.1179       2.4441
     581       2.1880       4.1229       2.3245
     582       2.0652       4.0140       2.4413
     583       2.0888       4.0973       2.4958
     584       1.9348       3.8387       2.3838
     585       2.1718       4.1435       2.3411
     586       2.0227       3.9719       2.3732
     587       2.1913       4.0934       2.2575
     588       2.1351       4.0551       2.2115
     589       2.1760       4.0957       2.3521
     590       2.0799       4.1440       2.2702
     591       2.0647       4.0244       2.4816
     592       2.1936       4.1620       2.6380
     593       2.1099       4.1319       2.4182
     594       2.0921       4.0439       2.2463
     595       2.0498       4.0895       2.2663
     596       1.9769       3.9386       2.4121
     597       2.1439       4.1059       2.3107
     598       2.0308       4.0139       2.2678
     599       2.1214       3.9388       2.3334
     600       2.1109       3.9545       2.1121
     601       2.1300       3.9989       2.0769
     602       2.0739       3.9858       2.1409
     603       1.9599       3.8987       2.4385
     604       2.0586       4.0011       2.1836
     605       2.1639       4.0843       2.2554
     606       2.0179       4.0252       2.4362
     607       2.0168       4.0744       2.3997
     608       2.0553       4.0767       2.4014
     609       1.9406       3.8734       2.3520
     610       2.2226       4.1644       2.4430
     611       2.1366       4.1035       2.4472
     612       2.0551       4.0327       2.2345
     613       2.0847       4.1672       2.6879
     614       2.0258       4.1046       2.3925
     615       2.1244       4.0609       2.4656
     616       2.1263       4.1260       2.4076
     617       2.0988       4.0762       2.2539
     618       2.1281       4.1452       2.3474
     619       2.1308       4.0929       2.4081
     620       2.0842       3.9751       2.0244
     621       2.0733       4.0527       2.4445
     622       2.0035       4.0617       2.4201
     623       2.1098       4.0784       2.4651
     624       2.2171       4.1566       2.3310
     625       2.0781       4.0163       2.3187
     626       2.0753       3.9975       2.2343
     627       2.0938       4.1069       2.3188
     628       2.0883       4.0228       2.1510
     629       2.2518       4.1186       2.1550
     630       1.9158       3.8805       2.1593
     631       2.0298       3.9632       2.2881
     632       2.0700       4.0681       2.3250
     633       2.1166       4.0719       2.3934
     634       2.0576       4.0751       2.5194
     635       2.0590       3.9831       2.3346
     636       2.0954       4.0848       2.3660
     637       2.2197       4.1049       2.4147
     638       2.0655       4.0382       2.4061
     639       2.1124       4.0997       2.2487
     640       2.0485       3.9933       2.3667
     641       2.1456       4.0734       2.4602
     642       2.0280       4.0137       2.3669
     643       2.0799       4.0167       2.2599
     644       2.1647       4.0776       2.4493
     645       2.0874       3.9874       2.2413
     646       2.0832       4.1057       2.4130
     647       2.0551       4.0543       2.3828
     648       2.1029       3.9236       2.5499
     649       2.0765       4.1235       2.3342
     650       2.1383       4.0810       2.3666
     651       2.1384       4.1000       2.3883
     652       2.1596       4.0273       2.2939
     653       2.1875       4.1809       2.3499
     654       2.0768       4.0139       2.3996
     655       2.0899       3.9790       2.1602
     656       2.0178       3.9821       2.1022
     657       2.0721       4.0618       2.3956
     658       2.1294       4.0469       2.3997
     659       2.0438       4.0343       2.3387
     660       2.1869       4.1097       2.4274
     661       2.1305       4.0081       2.4518
     662       1.9213       4.0237       2.5761
     663       2.0333       4.0765       2.2553
     664       1.9102       3.9814       2.4343
     665       2.0542       4.0182       2.4273
     666       2.0946       4.0621       2.3540
     667       2.0631       4.0509       2.2647
     668       2.0659       3.9969       2.2981
     669       1.9725       3.9131       2.3683
     670       2.0603       4.0296       2.2101
     671       2.0588       3.9455       2.4369
     672       2.1241       4.0166       2.2640
     673       2.0075       3.9237       2.3281
     674       2.1803       4.0860       2.5593
     675       2.1095       4.2149       2.4291
     676       2.1911       4.1321       2.4095
     677       2.0636       4.0522       2.2498
     678       2.0742       3.9991       2.2366
     679       2.1328       4.0476       2.4063
     680       2.1036       4.0485       2.3319
     681       2.0985       4.0204       2.2540
     682       2.1135       3.9759       2.3621
     683       2.0591       3.8964       2.4640
     684       2.1117       4.0686       2.4399
     685       2.1334       4.1384       2.4025
     686       2.0265       4.0014       2.3948
     687       2.1607       4.0775       2.2857
     688       2.1379       4.1233       2.4351
     689       2.1478       4.1653       2.5156
     690       2.0639       3.9688       2.2404
     691       1.9944       4.0254       2.5062
     692       1.8449       3.8652       2.3464
     693       2.0505       4.0870       2.4892
     694       2.2704       4.1405       2.2381
     695       2.0298       4.0305       2.2740
     696       2.1426       4.1711       2.3405
     697       2.1330       4.0880       2.3917
     698       2.0299       3.9516       2.1805
     699       1.9302       3.9127       2.4697
     700       2.0786       4.0578       2.5080
     701       1.9845       3.9393       2.2038
     702       2.1684       4.2032       2.4656
     703       2.1002       4.0802       2.2233
     704       1.9958       4.0129       2.4083
     705       2.0802       4.0814       2.4114
     706       2.0460       4.1035       2.3874
     707       2.0756       3.9219       2.4278
     708       2.1013       4.0969       2.2612
     709       2.0568       4.1050       2.5931
     710       2.0619       3.9827       2.2641
     711       1.9988       3.9787       2.2634
     712       2.0757       3.9823       2.3436
     713       2.0610       4.0145       2.5345
     714       2.0615       4.0535       2.1894
     715       2.1055       4.0277       2.3096
     716       2.0695       4.1322       2.4423
     717       2.1113       4.0939       2.3144
     718       2.1048       4.0391       2.3076
     719       2.1641       4.0145       2.2202
     720       2.0832       3.9314       2.2846
     721       2.0242       3.9741       2.1311
     722       2.0454       4.0655       2.2539
     723       2.1110       3.9864       2.5114
     724       2.1464       4.1036       2.2489
     725       2.1109       4.0496       2.2665
     726       2.2892       4.2742       2.3074
     727       2.0223       4.0620       2.4002
     728       2.0347       3.9474       2.4548
     729       2.0990       4.1188       2.5122
     730       1.9555       3.7954       2.4805
